UID,lon,lat,CEWOVll,nearest_mapped_dist,n_wetlands_pwet,area_wetlands_pwet,wet_prop_mean,area_mean_max,STRANNTEMP,STRELEMEAN,STRANNRAIN,RUNANNMEAN,VALLEYSLOPE,Perca fluviatilis,Philypnodon grandiceps,Cyprinus carpio,Gambusia holbrooki,Nannoperca australis,Retropinna semoni,Craterocephalus fluviatilis,Gadopsis marmoratus,Mogurnda adspersa,Hypseleotris klunzingeri,Galaxias rostratus,Misgurnus anguillicaudatus,id
r1dtyvemv,138.808964091873,-35.5247337905,Lower Murray,0,0,0,1,1.3771172948107613,15.0949373245239,0,482.113922119141,13629931,0,2,0,0,0,0,0,0,0,0,0,0,0,10
r1dtz6x68,138.844344044981,-35.537595605,Lower Murray,268.56490285697,0,0,1,0.41686086063809297,15.0971431732178,0,472.752380371094,13629980,0,0,1,0,0,0,0,0,0,0,0,0,0,16
r1dtzzwed,138.829423733048,-35.511967632,Lower Murray,52.8870467284065,0,0,1,190.07486368110128,15.0947370529175,2.6476616859436,477.473693847656,8.79875469207764,0.288502246141434,0,1,2,1,1,0,0,0,0,0,0,0,52
r1dvb2cmg,138.879044887264,-35.5461646205,Lower Murray,233.168286490167,0,0,0.43243243243243246,4.237504592554832,15.0971431732178,0,472.752380371094,13629980,0,0,0,1,0,0,0,0,0,0,0,0,0,119
r1dvbgwtf,138.907913257443,-35.530486742,Lower Murray,0,0,0,0.945945945945946,0.5818462877181418,15.1000003814697,0.753037452697754,458.388885498047,11.3736524581909,0.0245524253696203,31,8,62,4,10,1,0,0,0,0,0,0,165
r1dvbkrcb,138.888373947758,-35.531287219,Lower Murray,0,0,0,1,8.41633892953633,15.1000003814697,1.03661358356476,465.388885498047,2.42087817192078,0.11793290823698,26,0,89,0,0,0,0,0,0,0,0,0,173
r1dvbks5m,138.859345546021,-35.5287444364999,Lower Murray,0,0,0,1,14.019976155298766,15.1000003814697,1.45138931274414,470.636352539062,32.9058990478516,0.0415417924523354,0,0,1,0,0,0,0,0,0,0,0,0,174
r1dvbskph,138.89015500506,-35.5275357685,Lower Murray,28.8675841010988,0,0,0.7297297297297297,0.28351444932208275,15.1000003814697,1.03661358356476,465.388885498047,2.42087817192078,0.11793290823698,0,0,0,1,1,0,0,0,0,0,0,0,184
r1dvbspx3,138.899675095771,-35.5285474794999,Lower Murray,20.5499662946006,0,0,0.945945945945946,1.1000026071485742,15.1000003814697,3.5371572971344,463.222229003906,1.41109013557434,0.378191083669662,0,0,0,0,0,0,8,0,0,0,0,0,187
r1dvc23ux,138.925278157265,-35.5474871069999,Lower Murray,0,0,0,0.8918918918918919,2.472125175630768,15.1000003814697,1.61151838302612,455.947357177734,6.99926662445068,0.0321584045886993,0,0,0,2,1,0,0,0,0,0,0,0,204
r1dvc5mmt,138.920289295395,-35.5316723385,Lower Murray,36.951946179397,0,0,0.945945945945946,0.2643175086243092,15.1000003814697,0.714311420917511,457.904754638672,8.89204597473145,0.00894256960600615,1,1,1,1,0,0,0,0,0,0,0,0,218
